,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
197,721,2,0,37,3,107720,1,1,1,158591,0
198,501,0,0,57,10,0,2,1,1,47847,0
199,521,0,0,35,6,96423,1,1,0,10488,0
200,850,1,0,30,2,141040,1,1,1,5978,0
201,759,0,0,42,4,105420,1,0,1,121409,0
202,516,1,0,50,5,0,1,0,1,146145,1
203,711,0,1,38,2,129022,2,1,1,14374,1
204,512,1,0,33,3,176666,1,1,0,94670,0
205,550,0,0,37,3,0,1,1,1,179670,0
206,608,1,1,41,3,89763,1,0,0,199304,1
207,618,0,0,34,5,134954,1,1,1,151954,0
208,643,0,0,45,5,0,1,1,0,142513,1
209,671,0,0,45,2,106376,1,0,1,158264,0
210,689,2,0,33,2,161814,2,1,0,169381,0
211,603,0,0,31,8,0,2,1,1,169915,0
212,620,0,1,41,9,0,2,0,0,88852,0
213,676,0,1,34,1,63095,1,1,1,40645,0
214,572,2,0,26,4,118287,2,0,0,60427,0
215,668,2,0,47,7,106854,1,0,1,157959,1
216,695,0,0,46,7,49512,1,1,0,133007,0
217,730,1,1,33,9,0,2,0,0,176576,0
218,807,0,0,43,1,105799,2,1,0,34888,1
219,592,0,0,54,8,0,1,1,1,28737,1
220,726,0,1,31,9,114722,2,1,1,98178,0
221,514,1,0,30,7,0,1,0,1,125010,0
222,567,0,0,42,2,0,2,1,1,167984,0
223,850,0,0,33,10,0,1,1,0,4861,1
224,671,2,0,45,6,99564,1,1,1,108872,1
225,670,0,0,37,4,170557,2,1,0,198252,0
226,694,0,1,30,9,0,2,1,1,26960,0
227,547,2,1,39,6,74596,3,1,1,85746,1
228,751,2,0,50,2,96888,1,1,0,77206,1
229,594,2,1,29,3,130830,1,1,0,61048,0
230,673,0,0,72,1,0,2,0,1,111981,0
231,610,0,0,40,0,0,2,1,0,62232,0
232,512,0,1,37,1,0,2,0,1,156105,0
233,767,2,0,20,3,119714,2,0,1,150135,0
234,585,0,1,67,5,113978,2,0,1,93146,0
235,763,2,0,42,6,100160,1,1,0,33462,1
236,712,0,1,29,2,0,1,1,1,144375,0
237,539,2,1,43,3,116220,3,1,0,55803,1
238,668,0,1,46,2,0,3,1,0,89048,1
239,703,0,0,28,2,81173,2,0,1,162812,0
240,662,1,0,38,4,0,2,1,0,136259,0
241,725,2,1,39,5,116803,1,1,0,124052,0
242,703,0,0,37,8,105961,2,0,1,74158,0
243,659,2,0,67,6,117411,1,1,1,45071,1
244,523,1,0,34,7,0,2,1,0,62030,0
245,635,0,1,40,10,123497,1,1,0,131953,1
246,772,2,0,26,7,152400,2,1,0,79414,0
247,545,0,1,26,1,0,2,1,1,199638,0
248,634,2,0,24,8,103097,1,1,1,157577,0
249,739,2,0,54,8,126418,1,1,0,134420,1
250,771,2,1,36,5,77846,1,0,0,99805,0
251,587,1,1,34,1,0,2,1,1,97932,0
252,681,0,1,79,0,0,2,0,1,170968,0
253,544,2,0,37,2,79731,1,1,1,57558,0
254,696,1,0,28,8,0,1,0,0,176713,0
255,766,1,0,41,0,0,2,0,1,34283,0
256,727,0,0,34,10,0,2,1,1,198637,0
257,671,2,1,34,6,37266,2,0,0,156917,0
258,693,0,1,30,6,127992,1,1,1,50457,0
259,850,2,0,38,3,54901,1,1,1,140075,0
260,732,2,0,42,9,108748,2,1,1,65323,0
261,726,1,1,48,6,99906,1,1,0,64323,0
262,557,0,1,32,6,184686,2,1,0,14956,0
263,682,0,1,26,0,110654,1,0,1,111879,0
264,738,1,0,31,9,79019,1,1,1,18606,0
265,531,1,1,36,9,99240,1,1,0,123137,0
266,498,0,0,34,2,0,2,1,1,148528,0
267,651,0,0,36,7,0,2,1,0,13898,0
268,549,1,1,39,7,0,1,0,0,81259,1
269,791,2,1,35,7,52436,1,1,0,161051,0
270,650,1,0,41,9,0,2,0,1,191599,0
271,733,2,0,34,3,100337,3,1,0,48559,1
272,811,2,1,34,1,149297,2,1,1,186339,0
273,707,0,0,30,8,0,2,1,0,33159,0
274,712,2,0,28,4,145605,1,0,1,93883,0
275,706,1,1,37,7,0,2,1,1,110899,0
276,756,0,0,62,3,0,1,1,1,11199,1
277,777,0,1,53,10,0,2,1,0,189992,0
278,646,0,0,35,6,84026,1,0,1,164255,0
279,714,0,0,46,1,0,1,1,0,152167,1
280,782,0,0,39,8,0,2,1,1,33949,0
281,775,1,0,29,10,0,2,1,1,68143,0
282,479,2,0,35,4,138718,1,1,1,47251,1
283,807,0,0,42,7,118274,1,1,1,25885,0
284,799,0,1,22,8,174185,2,0,1,192633,0
285,675,0,0,40,7,113208,2,1,0,34577,0
286,602,1,0,29,5,103907,1,1,0,161229,0
287,475,0,1,32,8,119023,1,1,0,100816,0
288,744,1,1,26,5,166297,1,1,1,181694,0
289,588,1,0,34,10,0,2,1,0,79078,0
290,703,2,0,42,9,63227,1,0,1,137316,0
291,747,1,1,41,5,94521,2,1,0,194926,0
292,583,0,0,27,7,0,2,1,0,51285,0
293,750,1,1,34,9,112822,1,0,0,150401,1
294,681,0,0,38,3,0,2,1,1,112491,0
295,773,0,0,25,2,135903,1,1,0,73656,0
296,714,0,1,31,4,125169,1,1,1,106636,0
297,687,1,1,44,7,0,3,1,0,155853,1
298,511,0,0,58,0,149117,1,1,1,162599,0
299,627,0,0,33,5,0,2,1,1,103737,0
300,694,0,1,31,10,0,2,1,0,160990,0
301,616,1,1,36,6,132311,1,0,0,15462,0
302,687,0,0,35,8,0,2,1,0,10334,0
303,712,0,1,33,6,0,2,1,1,190686,0
304,553,0,0,33,4,118082,1,0,0,94440,0
305,667,0,0,31,1,119266,1,1,1,28257,0
306,731,0,0,43,2,0,1,1,1,170034,1
307,629,2,0,35,7,156847,2,1,0,31824,0
308,614,0,0,50,4,137104,1,1,0,127166,1
309,438,2,0,31,8,78398,1,1,0,44937,0
310,652,0,1,80,4,0,2,1,1,188603,0
311,729,2,0,30,6,63669,1,1,0,145111,0
312,642,0,0,38,3,0,2,0,0,171463,0
313,806,2,1,59,0,135296,1,1,0,182822,0
314,744,1,0,36,2,153804,1,1,1,87213,0
315,474,1,0,37,3,0,2,0,0,57175,0
316,559,0,0,49,2,147069,1,1,0,120540,1
317,706,1,0,42,9,0,2,1,1,28714,0
318,628,1,1,22,3,0,1,1,0,85426,0
319,429,0,0,24,4,95741,1,1,0,46170,0
320,525,1,1,57,2,145965,1,1,1,64448,0
321,680,0,1,30,8,141441,1,1,1,16278,0
322,749,0,0,40,1,139290,1,1,0,182855,1
323,763,0,1,31,4,0,2,0,0,50404,0
324,734,0,0,30,3,0,2,1,0,107640,0
325,716,0,0,35,4,144428,1,1,0,134132,0
326,594,0,0,35,2,0,2,1,0,103480,0
327,644,0,1,46,9,95441,1,1,0,108761,1
328,671,2,0,35,1,144848,1,1,1,179012,0
329,664,2,0,26,7,116244,2,1,1,95145,0
330,656,0,0,50,7,0,2,0,1,72143,0
331,667,1,1,40,1,146502,1,1,0,19162,0
332,663,2,0,44,2,117028,2,0,1,144680,0
333,584,2,1,30,8,112013,1,1,0,177772,1
334,626,1,1,37,6,108269,1,1,0,5597,0
335,485,0,0,29,7,182123,1,1,0,116828,1
336,659,2,1,32,3,150923,2,0,1,174652,0
337,649,0,0,33,2,0,2,1,0,2010,0
338,805,1,1,39,5,165272,1,1,0,14109,1
339,716,2,1,39,10,115301,1,1,0,43527,1
340,642,2,1,40,6,129502,2,0,1,86099,1
341,659,0,0,31,4,118342,1,0,0,161574,0
342,545,1,1,47,5,0,2,1,1,38970,0
343,543,0,0,22,8,0,2,0,0,127587,0
344,718,0,1,25,7,0,2,1,0,30380,0
345,840,0,1,43,7,0,2,1,0,90908,0
346,630,2,1,34,9,106937,2,1,0,138275,0
347,643,2,0,59,3,170331,1,1,1,32171,0
348,654,2,1,32,1,114510,1,1,1,126143,0
349,582,0,0,39,5,0,2,1,1,129892,0
350,659,1,0,32,3,107594,2,1,1,102416,0
351,762,1,0,39,2,81273,1,1,1,18719,0
352,568,1,1,32,7,169399,1,1,0,61936,0
353,670,1,0,25,6,0,2,1,1,78358,0
354,613,0,1,45,1,187841,2,1,1,147224,0
355,539,0,0,30,0,0,2,1,0,160979,0
356,850,1,1,57,8,126776,2,1,1,132298,0
357,522,1,0,34,9,126436,1,1,0,174248,1
358,737,0,0,41,1,101960,1,1,1,123547,0
359,520,0,0,58,3,0,2,0,1,32790,0
360,706,1,0,28,3,0,2,0,1,181543,0
361,643,2,1,45,2,150842,1,0,1,2319,1
362,648,0,1,50,9,102535,1,1,1,189543,0
363,443,2,1,29,9,99027,2,1,0,10940,0
364,640,0,0,68,9,0,2,1,1,199493,0
365,628,1,1,33,3,0,1,1,1,188193,0
366,540,2,1,42,9,87271,2,1,0,172572,0
367,460,2,1,35,8,102742,2,1,1,189339,0
368,636,2,0,34,2,40105,2,0,1,53512,0
369,593,0,1,29,2,152265,1,1,0,34004,0
370,801,1,0,42,4,141947,1,1,1,10598,0
371,640,2,1,75,1,106307,2,0,1,113428,0
372,611,2,0,31,0,107884,2,1,1,183487,0
373,802,2,0,31,1,125013,1,1,1,187658,0
374,717,2,0,35,7,58469,2,1,1,172459,0
375,769,0,1,39,8,0,1,0,1,21016,0
376,745,2,0,45,10,117231,3,1,1,122381,1
377,572,1,0,35,4,152390,1,1,0,128123,0
378,629,1,1,30,2,34013,1,1,0,19570,0
379,687,1,1,39,2,0,3,0,0,188150,1
380,483,0,1,50,9,0,2,1,1,111020,0
381,690,0,0,36,7,101583,2,1,0,123775,0
382,492,2,1,30,10,77168,2,0,1,146700,0
383,709,2,0,28,8,124695,2,1,0,145251,0
384,705,2,0,44,3,105934,1,1,0,82463,0
385,560,0,1,66,9,0,1,1,1,15928,0
386,611,1,0,46,6,0,2,1,0,45886,0
387,730,1,0,62,2,0,2,1,1,186489,0
388,709,1,1,45,2,0,2,0,1,162922,0
389,544,0,1,21,10,161525,2,1,0,9262,0
390,712,2,1,29,7,147199,1,1,1,84932,0
391,752,2,0,38,3,183102,1,1,1,71557,0
392,648,1,0,46,9,127209,2,1,0,77405,1
393,556,1,0,38,8,0,2,0,0,417,1
394,594,1,1,24,0,97378,1,1,1,71405,0
395,645,2,1,37,2,136925,2,0,1,153400,0
396,557,0,0,33,3,54503,1,1,1,371,0
397,547,2,0,32,8,155726,1,1,0,67789,0
398,701,0,1,39,9,0,2,0,1,145894,0
399,616,0,1,66,1,135842,1,1,0,183840,1
400,605,0,0,52,1,63349,1,1,0,108887,0
401,593,2,1,38,4,129499,1,1,1,154071,0
402,751,1,0,52,8,0,2,0,1,179291,0
403,443,1,0,36,6,70438,2,0,1,56937,0
404,685,0,0,23,8,0,2,1,1,112239,0
405,718,0,0,36,9,0,1,1,0,45909,0
406,538,1,1,49,9,141434,1,0,0,173779,1
407,611,1,1,37,4,0,2,1,0,125696,0
408,668,2,0,37,10,152958,2,1,1,159585,0
409,537,2,1,41,3,138306,1,1,0,106761,0
410,709,1,0,23,10,0,2,0,0,129590,0
411,850,0,0,38,1,0,2,1,1,80006,0
412,745,1,1,31,3,124328,1,1,1,140451,0
413,693,2,1,41,9,181461,3,1,1,187929,1
414,795,1,0,35,8,0,2,1,0,167155,0
415,626,1,0,26,8,0,2,0,0,191420,0
416,487,2,1,61,5,110368,1,0,0,11384,1
417,556,0,1,39,9,89588,1,1,1,94898,0
418,643,0,1,46,6,0,2,0,0,106781,0
419,605,0,1,28,6,0,2,0,0,159508,0
420,756,2,1,60,3,115924,1,1,0,93524,1
421,586,0,1,38,2,0,2,1,0,87168,0
422,535,2,0,40,7,111756,1,1,0,8128,1
423,678,0,1,35,4,0,1,1,0,125518,0
424,596,0,0,39,9,0,1,1,0,48963,0
425,648,0,0,26,9,162923,1,1,0,98368,0
426,492,2,0,39,10,124576,2,1,0,148584,0
427,702,0,0,45,0,80793,1,1,1,27474,0
428,486,2,1,40,9,71340,1,1,0,76192,0
429,568,2,0,40,1,99282,1,0,0,134600,1
430,619,2,0,57,3,137946,1,1,1,72467,1
431,724,2,0,41,2,127892,2,0,1,199645,0
432,548,2,1,33,0,101084,1,1,0,42749,0
433,545,2,1,37,8,114754,1,1,0,136050,1
434,683,0,0,33,8,0,1,0,0,73564,0
435,762,0,1,51,3,99286,1,0,1,85578,0
436,627,2,1,30,4,79871,2,1,0,129826,0
437,516,0,0,35,10,104088,2,0,0,119666,0
438,800,0,1,38,2,168190,2,1,0,68052,0
439,464,2,1,42,3,85679,1,1,1,164104,0
440,626,0,1,35,3,0,1,0,0,80190,0
441,790,0,1,31,9,0,2,1,0,84126,0
442,534,0,1,34,7,121551,2,1,1,70179,0
443,745,0,0,46,2,122220,1,1,1,118024,0
444,553,1,0,47,3,116528,1,0,0,145704,1
445,748,0,1,26,1,77780,1,0,1,183049,0
446,722,0,0,37,2,0,1,0,0,120906,0
447,501,0,0,40,4,125832,1,1,1,100433,0
448,675,0,1,38,6,68065,1,0,0,138777,1
449,778,1,1,47,6,127299,2,1,0,124694,0
450,494,2,1,38,7,174937,1,1,0,40084,0
451,850,0,0,40,9,0,2,0,1,119232,0
452,592,1,0,31,7,110071,1,0,0,43921,0
453,590,1,1,44,3,139432,1,1,0,62222,0
454,758,0,1,39,6,127357,1,0,1,56577,0
455,506,0,0,36,5,0,2,1,0,164253,0
456,733,0,0,33,3,0,1,1,1,7666,0
457,711,0,0,38,3,0,2,1,0,68487,0
458,514,2,0,43,1,95556,1,0,1,199273,1
459,637,1,0,37,8,0,1,1,1,186062,0
460,468,2,0,29,1,111681,2,1,1,195711,0
461,539,0,0,39,3,0,2,1,0,36692,0
462,509,1,1,25,3,108738,2,1,0,106920,0
463,662,0,1,32,4,133950,1,1,1,48725,1
464,818,1,0,26,4,0,2,1,1,167036,0
465,608,0,0,33,9,89968,1,1,0,68777,0
466,850,1,1,32,9,0,2,1,1,18924,0
467,816,2,1,38,5,130878,3,1,0,71905,1
468,536,0,0,35,8,0,2,1,0,64833,0
469,753,0,0,35,3,0,2,1,1,184843,0
470,631,1,0,27,10,134169,1,1,1,176730,0
471,703,0,0,37,1,149762,1,1,0,20629,1
472,774,0,0,26,2,93844,1,1,0,28415,0
473,785,0,0,28,8,0,2,1,0,77231,0
474,571,0,1,33,1,0,2,1,0,102750,0
475,621,2,0,46,6,141078,1,0,0,34580,1
476,605,2,1,31,1,117992,1,1,1,183598,0
477,611,0,1,40,8,100812,2,1,0,147358,0
478,569,0,0,38,7,0,1,1,1,108469,0
479,658,0,0,29,4,80262,1,1,1,20612,0
480,788,1,0,34,6,156478,1,0,1,181196,0
481,525,0,1,23,5,0,2,1,0,160249,0
482,798,0,0,37,8,0,3,0,0,110783,0
483,486,2,0,37,9,115217,2,1,0,144995,0
484,615,1,0,61,9,0,2,1,0,150227,1
485,730,0,1,35,0,155470,1,1,1,53718,0
486,641,0,0,37,7,0,2,1,0,75248,0
487,542,0,0,39,3,135096,1,1,1,14353,1
488,692,0,0,30,2,0,2,0,1,130486,0
489,714,2,1,55,9,180075,1,1,1,100127,0
490,591,1,0,29,1,97541,1,1,1,196356,0
491,710,0,1,41,2,156067,1,1,1,9983,0
492,639,0,1,38,4,81550,2,0,1,118974,0
493,531,0,1,47,6,0,1,0,0,194998,1
494,673,0,1,38,2,170061,2,0,0,134901,1
495,765,2,0,36,8,92310,2,1,1,72924,0
496,622,0,1,32,6,169089,2,1,0,101057,0
497,806,0,0,40,5,80613,1,1,1,142838,0
498,757,2,0,26,8,121581,2,1,1,127059,0
499,570,0,1,58,8,0,1,0,1,116503,1
500,555,1,0,32,4,0,2,1,1,54405,0
501,692,0,0,54,5,0,2,1,1,88721,0
502,774,0,0,60,5,85891,1,1,0,74135,1
503,638,1,0,44,9,77637,2,1,1,111346,0
504,543,1,1,41,4,0,1,0,0,194902,0
505,584,0,0,31,5,0,2,1,0,31474,0
506,691,2,0,30,7,116927,1,1,0,21198,0
507,684,2,1,40,6,137326,1,1,0,186976,0
508,733,0,0,22,5,0,2,1,1,117202,0
509,599,1,1,37,2,0,2,1,1,143739,0
510,524,2,1,31,10,67238,2,1,1,161811,0
511,632,2,1,38,6,86569,2,1,0,98090,0
512,735,1,0,34,5,0,2,0,0,71095,0
513,734,0,0,34,6,133598,1,1,1,13107,0
514,605,0,1,51,3,136188,1,1,1,67110,1
515,793,1,0,38,9,0,2,1,0,88225,0
516,468,0,1,56,10,0,3,0,1,62256,1
517,779,2,0,37,7,120092,2,1,0,135925,0
518,698,0,0,48,4,101238,2,0,1,177815,1
519,707,0,0,58,6,89685,1,0,1,126471,0
520,850,0,1,35,1,211774,1,1,0,188574,1
521,850,0,0,56,7,131317,1,1,1,119175,0
522,527,1,0,37,5,93722,2,1,1,139093,0
523,696,2,0,32,8,101160,1,1,1,115916,0
524,661,0,0,48,3,120320,1,0,0,96463,0
525,776,0,1,31,2,0,2,1,1,112349,0
526,701,0,0,43,2,0,2,1,1,165303,0
527,610,0,0,26,8,0,2,1,0,166031,0
528,572,2,1,48,3,152827,1,1,0,38411,1
529,673,0,0,30,1,64097,1,1,1,77783,0
530,519,1,1,57,2,119035,2,1,1,29871,0
531,702,1,1,26,4,135219,1,0,1,59747,0
532,729,0,0,32,6,93694,1,1,1,79919,0
533,543,1,0,35,10,59408,1,1,0,76773,0
534,550,0,1,40,7,114354,1,1,0,54018,0
535,608,0,0,59,1,0,1,1,0,70649,1
536,639,2,0,35,10,128173,2,1,0,59093,0
537,686,1,0,34,9,0,2,1,0,127569,0
538,564,2,1,62,5,114931,3,0,1,18260,1
539,745,2,1,28,1,111071,1,1,0,73275,1
540,833,0,0,37,8,151226,2,1,1,136129,0
541,622,0,0,26,9,0,2,1,1,153237,0
542,597,0,1,42,4,64740,1,1,1,106841,0
